Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Serviço População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ; Mulher ;  ;  ;  ;  ; 3927021.70107051 ; 1429409.73485971 ; 1633203.39882654 ; 12.4781557589983 ; 36.3993337360487 ; 41.588855961283 ; 1717.57983295933 ; 10.2116465320546 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Sim ; Trabalhador doméstico ; 672.2914092 ; 672.2914092 ; 672.2914092 ; 0 ; 100 ; 100 ; 865.840565047904 ; 12 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Sim ;  ; 6533.42341752 ; 6533.42341752 ; 6533.42341752 ; 0 ; 100 ; 100 ; 1577.61376398341 ; 11.4467260010385 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Não ; Trabalhador doméstico ; 888.68556186 ; 888.68556186 ; 888.68556186 ; 0 ; 100 ; 100 ; 600.978510118902 ; 9.78356829346092 
PNADC_012022 ; Ceará ;  ;  ; Amarela ; Não ;  ; 2843.26446711 ; 2843.26446711 ; 2843.26446711 ; 0 ; 100 ; 100 ; 645.192003918907 ; 8.09729917275729 
PNADC_012022 ; Ceará ;  ;  ; Amarela ;  ; Trabalhador doméstico ; 1560.97697106 ; 1560.97697106 ; 1560.97697106 ; 0 ; 100 ; 100 ; 715.050970797749 ; 10.7381550830231 
PNADC_012022 ; Ceará ;  ;  ; Amarela ;  ;  ; 35150.05883709 ; 16814.93282494 ; 19785.3622805 ; 15.0132679576335 ; 47.8375666535074 ; 56.2882764213831 ; 1386.8988571635 ; 9.3196282353766 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Sim ; Trabalhador doméstico ; 9742.26166197 ; 9742.26166197 ; 9742.26166197 ; 0 ; 100 ; 100 ; 1368.58058174353 ; 11.3850813319711 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Sim ;  ; 285961.36765008 ; 285961.36765008 ; 285961.36765008 ; 0 ; 100 ; 100 ; 2237.71003635711 ; 12.8372342752085 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Não ; Trabalhador doméstico ; 31362.11187595 ; 31362.11187595 ; 31362.11187595 ; 0 ; 100 ; 100 ; 703.754004228757 ; 8.50894548787727 
PNADC_012022 ; Ceará ;  ;  ; Branca ; Não ;  ; 228137.70739376 ; 228137.70739376 ; 228137.70739376 ; 0 ; 100 ; 100 ; 1231.09993400979 ; 11.0002111963866 
PNADC_012022 ; Ceará ;  ;  ; Branca ;  ; Trabalhador doméstico ; 41104.37353792 ; 41104.37353792 ; 41104.37353792 ; 0 ; 100 ; 100 ; 862.083542882054 ; 9.18640458703635 
PNADC_012022 ; Ceará ;  ;  ; Branca ;  ;  ; 2039876.69148239 ; 941564.48552765 ; 1057591.81922097 ; 10.9708993190574 ; 46.1579118708107 ; 51.8458700781767 ; 2363.9519386684 ; 10.695585607286 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Sim ; Trabalhador doméstico ; 0 ; 0 ; 0 ; NaN ; NaN ; NaN ; NaN ; NaN 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Sim ;  ; 5427.03363523 ; 5427.03363523 ; 5427.03363523 ; 0 ; 100 ; 100 ; 1685.72263846806 ; 11.3545432274345 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Não ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 
PNADC_012022 ; Ceará ;  ;  ; Indígena ; Não ;  ; 5606.8007461 ; 5606.8007461 ; 5606.8007461 ; 0 ; 100 ; 100 ; 910.092595735427 ; 10.6283199555694 
PNADC_012022 ; Ceará ;  ;  ; Indígena ;  ; Trabalhador doméstico ; 1507.1351478 ; 1507.1351478 ; 1507.1351478 ; 0 ; 100 ; 100 ; 772.870591580173 ; 5.92512772967225 
